Abbreviation,Full-Form,Type,Pronunciation
RPP,RBV Preprocessor,initialism,
RPU,Remote positioning unit,initialism,
RQA,River Quality Assessment,initialism,
RRDS,Reduced Resolution Data Set,initialism,
RRH,Regional Research Hydrologist,initialism,
RSAC,Remote Sensing Application Center (USFS),initialism,
RSAL,Remote Sensing Applications Laboratory (Univ. of Washington),initialism,
RSC/TAMU,Remote Sensing Center/Texas A&M Univ.,initialism,RSC / TAMU
RSGS,Royal Scottish Geographical Society,initialism,
RSI,"Remotely Sensed Imagery; RADARSAT International Remote Sensing Institute (S.Dakota State Univ.); Research Systems, Inc.",initialism,
RSIP,Remote Sensing and Image Processing,initialism,
RSPA,Research and Special Programs Administration (USDOT),initialism,
RSRP,"Remote Sensing Research Program (Univ. of Calif., Berkeley)",initialism,
RSRT,Resort,initialism,
RSSC,Remote Sensing Science Council,initialism,
RST,Representation Style Table,initialism,
RSTF,Remote Sensing Task Force,initialism,
RSTN,Railroad station,initialism,
RSV,Reservoir,initialism,
RSVP,Resource reservation protocol,initialism,
RT,Radio tower; Real time; Remote terminal,initialism,
RT-GPS,Real-time Differential GPS,initialism,
RTA,Regional Transport Authority (Chicago),initialism,
RTCM,Radio Technical Commission for Maritime (format),initialism,
RTF,Rich Text Format,initialism,
RTK,Real-time kinematic; Right-to-Know Network,initialism,
RTN,Real-time network,initialism,
RTP,Real Time Positioning,initialism,
RTSD,Royal Thai Survey Dept.,initialism,
RTSI,Routing Technology Software Inc.,initialism,
RTTK,Real Time TurboKinematic (Allen Obsobne Associates),initialism,
RTV,Raster to vector,initialism,
RUIN,Ruins,acronym,
RUIS,San Diego Regional Urban Information System,initialism,
RUS,Rest of the U.S.,initialism,
RV,Reise- und Verkehrsverlag,initialism,
RVP,Raster-to-vector processor; Radar Verification Programme,initialism,
Reichsb,Reichsbahn = National railroad,initialism,Reich sb
Reichsbf,Reichsbahnhof = National railroad station,initialism,Reich sbf
RepCode,Representation Code,acronym,RepCode
Rev,Revised,initialism,Rev
RfC,Reference concentration,initialism,RFc
Rgbf,Rangierbahnhof = Shunting station,initialism,Rgbf
RiskMAP,Risk Mapping and Planning (FEMA),initialism,RiskMAP
S,Secret; Store; Suden = south,initialism,S
S&A,Sampling and analysis,initialism,S&A
S-SIG,Sureying Special Interest Group,initialism,S-SIG
S-VGA,Super Video Graphics Array,initialism,S-VGA
S.B.V. Adm.,Schulbucher-Verschleiss-Administration (Wien),initialism,S.B.V. Adm.
S.C.,South Carolina,initialism,S.C.
S.C.A.,Samuel Chapman Armstrong,initialism,S.C.A.
S.C.M.,Sacrae Caesareae Majestatis = Holy Imperial Majesty (Holy Roman Emperor),initialism,S.C.M.
S.D.,South Dakota,initialism,S.D.
S.E.O.P.,Secretaria de Estado de Obras Publicas (Argentina),initialism,S.E.O.P.
S.F.,San Francisco,initialism,S.F.
S.H.,School house,initialism,S.H.
S.H.C.,"Surveyor, Hopkins County",initialism,S.H.C.
S.M.,Saw mill,initialism,S.M.
S.W.P.A.,Southwest Pacific Area (Allied Forces),initialism,S.W.P.A.
S/C,Spacecraft,initialism,S/C
S/N,Signal-to-Noise Ratio,initialism,S/N
S/W,Software,initialism,S/W
S3,Satellite Security Systems,initialism,S3
SA,Selected availability; Selective availability; Signal  accuracy; Situational awareness; Source acquisition,initialism,SA
SA/S,Source Aquisition Segment,initialism,SA/S
SAA,Southern Appalachian Assessment (GIS database),initialism,SAA
SAC,Sectional aeronautical chart; Satellite Applications Centre (CSIR); Statistical Area Classification (Canada),initialism,SAC
SACC,Spatial Analysis Coordinating Committee,initialism,
SADIE,System at Arizona for Digital Information Extraction,acronym,
SADL,South Australia Dept. of Lands,initialism,
SADME,South Australian Dept. of Mines and Energy,initialism,SAD ME
SADR,Spatial address,initialism,
SAE,Survey Agro Ekonomi (Indonesia),initialism,
SAF,Society of American Foresters,initialism,
SAFOD,San Andreas Fault Observatory at Depth,initialism,
SAGA,Short Arc Geodetic Adjustment (doppler),acronym,
SAGEEP,Symposium on the Application of Geophysics to Engineering and Environmental Problems,acronym,
SAIC,Science Applications International Corp.,initialism,
SAL,Stanford Auxiliary Library,acronym,
SALT,Salina,acronym,
SAM,Spatial access methods,acronym,
SAM Inc,"Surveying and Mapping, Inc.",acronym,SAM Inc
SAMAB,Southern Appalachian Man and Biosphere (project),acronym,
SAMSOG,Surveying and Mapping Society of Georgia,acronym,
SANAIS,South African Natural Areas Information System,acronym,
SANDAG,San Diego Association of Governments,acronym,
SAR,Synthetic aperture radar,acronym,
SARM,Spatial Auto-Regressive Model,acronym,
SARSAT,Search and Rescue Satellite Aided Tracking System,acronym,
SAST,Scientific Assessment and Strategy Team (U.S.),acronym,
SAT,Small area triangulation,acronym,
SAW,Spill analysis workstation; Surface acoustic wave,acronym,
SAZU,Slovenske Akademije Znanosti in Umetnosti = Slovenian Academy of Sciences and Art,acronym,
SB,Survey of Bangladesh,initialism,
SBAS,School Boundary Analysis System (GeoSpatial Technologies),initialism,
SBCDP,Small Business Competitiveness Demonstration Program (U.S.),initialism,
SBET,Smoothed bed estimate of trajectory,initialism,
SBM,Surveys and Mapping Branch (Manitoba),initialism,
SBUV,Solar Backscatter Ultraviolet (spectrometer),initialism,
SC,South Carolina,initialism,
SCADA,Supervisory Control and Data Acquisition,acronym,
SCAMP,Southern California Aerial Mapping Project,acronym,
SCAN,Surface Condition Analyzer (Surface Systems Inc),acronym,
SCAR,Scientific Committee on Antarctic Research,acronym,
SCB,Statistika Centralbyran (Sweden),initialism,
SCC,Servico de Cartografia e Cadastro (Macao); SoftCopy Catalog (USDMA),initialism,
SCCAMA,Southern California Computer Aided Mapping Assn.,initialism,
SCD,Source Control Drawing; Specification Control Drawing,initialism,
SCDOT,South Carolina Dept. of Transportation,initialism,
SCEC,Southern California Earthquake Center,initialism,
SCEP,Servico Cartografico do Exercito (Portugal),initialism,
SCERP,Southwest Center for Environmental Research and Policy,initialism,
SCGIS,Sedgwick County (Kans.) GIS Dept.,initialism,
SCGP,Societe Canadienne des Geologique Petroliers,initialism,
SCGS,South Carolina Geological Survey,initialism,
SCH,School,initialism,
SCM,Supply chair management,initialism,
SCO,State Cartographer's Office (Wisconsin),initialism,
SCOOP,Schedule Control of Orthophoto Products,acronym,
SCOPE,Scientific Committee on Problems of the Environment,initialism,
SCR,Service Cartographique du Rwanda,initialism,
SCS,Soil Conservation Service (USDA); Soft Copy Search (NIMA),initialism,
SCSA,Standard Consolidated Statistical Area; Soil Conservation Society of America,initialism,
SCSD,Street Centerline Spatial Dataset,initialism,
SCSI,Small computer system interface,initialism,
SCSMAC,South Carolina State Mapping Advisory Committee,initialism,
SCSPLS,South Carolina Society of Professional Land Surveyors,initialism,
SCTRAP,South Carolina Toxic Risk Atlas Project,initialism,
SCWRC,South Carolina Water Resources Commission,initialism,
SD,South Dakota,initialism,
SDA,"Spalding DeDecker Associates, Inc.; Survey Document and Analysis (Univ. of California, Berkeley)",initialism,
SDB,Spatial data base,initialism,
SDBMS,Spatial database management system,initialism,
SDDOT,South Dakota Dept. of Transportation,initialism,
SDDP,"Spatial Data Discovery Portal (Simon Fraser University

)",initialism,
SDE,Spatial Database Engine (ESRI),initialism,
SDES,Spatial Data Exchange Standard,initialism,
SDG,Survey Dept. Ghana,initialism,
SDGS,South Dakota Geological Survey,initialism,
SDH,Spatial data handling,initialism,
SDI,Selected Dissemination of Information; Spatial data infrastructure,initialism,
SDL,Survey Dept. of Libya,initialism,
SDLC,Synchronous Data-Like Control; System Development Life Cycle,initialism,
SDMG,Direction des Mines et de la Geologie (Senegal),initialism,
SDMS,Spatial Data Management System,initialism,
SDNR,State Dept. of Natural Resources,initialism,
SDOI,Spatial Data Organization Information,initialism,
SDPS,Spatial Data Production System,initialism,
SDRW,Societe de Developpement Regional pour la Wallonie,initialism,
SDS,Swaziland Dept. of Surveys; Simplicial data structure,initialism,
SDSB,Satellite Data Services Branch (NOAA),initialism,
SDSFIE,"Spatial Data Standard for Facilities, Infrastructure and Environment (Tri-Services)",initialism,
SDSS,Spatial decision support systems,initialism,
SDT,Spatial Data Technologies (Firm),initialism,
SDTP,Spatial data transfer processor,initialism,
SDTS,Spatial Data Transfer Standard,initialism,
SDUK,Society for the Diffusion of Useful Knowledge,initialism,
SDV,Soil Data Viewer (NCRS),initialism,
SE,Southeast,initialism,
SEAMS,"Soil, Environmental, and Agricultural Management System (Univ. of Florida Dept. of Soil and Water)",acronym,
SEASAT,Sea Satellite (U.S.),acronym,
SEATO,Southeast Asia Treaty Organization,acronym,
SECFT,"Sociedad Espa~nola de Cartografia, Fotogrametria y Teledeteccion",initialism,
SECO,Surveying Equipment Company (later: SECO Manufacturing),acronym,
SEDAC,Socioeconomic Data and Application Center,initialism,
SEDESOL,Secretaria de Dessarrollo Social (Mexico),initialism,
SEDIC,Sudan Engineering & Digital Information Centre,acronym,
SEDMS,Spatially Enabled Document Management System (Intergraph Corp.),initialism,
SEDUE,Secretaria de Desarrollo Urbano y Ecologia (Mexico),initialism,
SEG,Society of Economic Geologists; Society of Exploration Geophysicists,initialism,
SEOS,Stationary Earth Orbit Satellite,initialism,
SEPA,State Environmental Protection Agency,initialism,
SEPM,Society for Sedimentary Geology,initialism,
SERIES,Satellite Emission Range Inferred Earth Surveying,initialism,
SES,Standalone Edit Stations,initialism,
SESCPF,Service d'Etude des Sols et de la Carte Pedalogique de France,initialism,
SESWG,Solid Earth Science Working Group,initialism,
SEVIRI,Spinning Enhanced Visible and Infrared Imager,initialism,
SEWUG,Southeastern Water Use Group,initialism,
SFHA,Special Flood Hazard Area,initialism,
SFQL,Structured Full-text Query Language,initialism,
SGA,Societe Geoscientifique de l'Atlantique; State Geologic Agencies; Service Geologique de l'Armee (Syria),initialism,
SGB,Service Geologique Belgique; Servicio geologico de Bolivia,initialism,
SGCB,State Geodesy and Cartography Board (Mongolia),initialism,
SGD,Solar Geophysical Data (journal); Symbolized Graphic Data; Surveyor General's Dept. (South West Africa),initialism,
SGE,Servicio Geografico del Ejercito (Spain),initialism,
SGG,Service Geologique du Gabon,initialism,
SGI,Servicio Geologico d'Italia; Silicon Graphics workstation,initialism,
SGK,Schweizerische Geologische Kommission,initialism,
SGL,Service Geologique de Luxembourg,initialism,
SGM,Servicio Geografico Militar (Uruguay),initialism,
SGML,Standard generalized markup language,initialism,
SGN,"Servicio Geologico Nacional (Argentina, Nicaragua); Service Geographique National (Laos)",initialism,
SGS,Stanford Geological Survey,initialism,
SGU,Sveriges Geologiska Undersokning; Savezna Geodetska Uprava (Yugoslavia),initialism,
SGpK,Schweizerische Geophysikalische Kommission,initialism,SGpK
SGtK,Schweizerische Geotechnische Kommission,initialism,SGtK
SHA,State Highway Administration (Maryland),acronym,
SHAPE,Systematic Horizontol Adjustment of Positional Errors,acronym,
SHC,Service hydrographique du Canada,initialism,
SHDSL,Symmetric High-bit-rate Digital Subscriber Line,initialism,
SHEF,Standard Hydrometeorological Exchange Format,initialism,
SHIPS,Seizmic Hazards Investigation in Puget Sound,acronym,
SHMP,Seizmis Hazard Mapping Program,initialism,
SHN,Servicio de Hidrografia Naval (Argentina),initialism,
SHOALS,"Scanning Hydrographic Operational Airborne LiDAR System (or Survey -- USCE, Optech)",initialism,
SHOL,Shoal,acronym,
SHOM,Service Hydrographique et Ocenographique de la Marine (France),acronym,
SHORAN,Short-range Navigation (system),acronym,
SHS,Surveyors Historical Society,initialism,
SI,Survey of India; Survey of Israel,initialism,
SIAC,Spatial Information and Analysis Consortium,initialism,
SIAMS,Ship Information and Management System,acronym,
SIAN,Service d'information de l'atlas nationale (Canada),acronym,
SIAT,Special Image Annotation Tape,initialism,
SIB,Solar Indices Bulletin,initialism,
SIC,Standard Industrial Classification,initialism,
SICC,Surveying Instrumentation and Coordinate Computation,initialism,
SICO,Schonstedt Intstrument Company,initialism,
SICOM,South Australian Spatial Information Committee,initialism,
SID,Scanned Image Data; South Australian Spatial Information Directory,acronym,
SIF,Standard Interchange Format (Intergraph),initialism,
SIG,Sistemas de informacion geografica; Special interest group,initialism,
SIGACE,Special Interest Group for the Application of CD-ROM in Education,initialism,
SIGCAT,Special Interest Group on CD-ROM Applications & Technology (U.S.),initialism,
SIGGRAPH,Special Interest Group on Graphics (ACM),initialism,
SIGIT,Swedish Institute for Geographic Information Technology,initialism,
SIGLIT,Special Interest Group on Library Information Technology (U.S.),initialism,
SIGS,Solomon Islands Geological Survey,initialism,
SIGSA,Sistemas de Informacion Geografica S.A.,initialism,
SILS,Science Information and Libary Services (USGS),initialism,
SIM,Spatial interaction model,acronym,
SIMAG,Spatial Information Management Advisory Group,acronym,
SIME,Space Imaging Middle East,acronym,
SIP,Scanner Interface Processor,initialism,
SIPES,Society of Independent Professional Earth Scientists,acronym,
SIR,"Shuttle Imaging Radar; Space Imaging Radar (NASA); Surveys, Investigations and Research (USGS)",acronym,
SIRGAS,Sistema de Referencia Geocentrico para las Americas,initialism,SIR GAS
SIRS,Satellite Infrared Spectrometer,initialism,
SIRU,Soils and Irrigation Research Unit (South Africa),initialism,
SIS,Standard Indexing System (DOD aerial photography); Spatial Information Systems (Computer Aided Development Corp.),initialism,
SISMD,Solomon Islands Survey and Mapping Div.,initialism,
SJSU,San Jose State University,initialism,
SK,Survey of Kenya; Slovenska Kartografia,initialism,
SKV,Statens Kartverk (Norway),initialism,
SLA,Special Libraries Assn.; Singapore Land Authority,initialism,
SLAC,Stanford Linear Accelerator Center,acronym,
SLAGMD,Special Libraries Assn. Geography & Map Div.,initialism,
SLAP,Soils Landscape Analysis Project; Supplemental Low Altitude Photography,acronym,
SLAR,Side-Looking Airborne Radar,acronym,
SLAT,Spacecraft Location/Attitude Tape,acronym,
SLATS,Statewide Landcover and Trees Study (Queensland DNR),acronym,
SLC,Scan Line Corrector (USGS),initialism,
SLD,Slope-Line Detection,initialism,
SLD29,Sea Level Datum of 1929,initialism,SLD 29
SLDI,Sustainable Land Development International,initialism,
SLF,Standard Linear Format,initialism,
SLG,Symbolized Line Graph; Synthetic Line Generation,initialism,
SLGSD,Sri Lanka Geological Survey Dept.,initialism,
SLIP,Serial Line Internet Protocol,acronym,
SLM,Structure line model,initialism,
SLNSW,State Library of New South Wales,initialism,
SLP,Slope(s),initialism,
SLR,Satellite Laser Ranging; Side-looking Radar,initialism,
SLSD,Sri Lanka Survey Dept.,initialism,
SLSI,Society of Land Surveyors of Iowa,initialism,
SLUPD,Swaziland Land Use Planning Dept.,initialism,SLUP D
SM,Survey Manual,initialism,
SMA,Schweizerische Meteorologische Anstalt,initialism,
SMAC,State Mapping Advisory Committee (or Council),acronym,
SMART,Spatial Mapping Academic Research Tools,acronym,
SMASCH,Specimen Management System for California Herbaria,acronym,
SMB,Surveys and Mapping Branch (Manitoba),initialism,
SMC,Special Mapping Center,initialism,
SMCDG,Small Map Collection Discussion Group (MAGERT),initialism,
SMCRA,surface Mining Control and Reclamation Act,initialism,
SMD,Surveys and Mapping Div. (Tanzania),initialism,
SME,"Softcopy Monoscopic Extraction; Society of Mining Engineers; society for Mining, Metalurgy, and Exploration, Inc.",initialism,
SMGE,Sociedad Mexicana de Geografia y Estadistica,initialism,
SMI,Surveyors Module International (Firm),initialism,
SMIB,Surveying and Mapping Inst. of Beijing,initialism,
SMIMS,Single MIM-Based Integrated Mapping System (USBC),initialism,
SMIPS,Small Interactive Image Processing System,initialism,
SMIRR,Shuttle Multispectral Infrared Radiometer,initialism,
SMMR,Scanning Multichannel Microwave Radiometer,initialism,
SMMT,Submilimeter Telescope,initialism,
SMN,Servicio Meteorologico Nacional (Argentina),initialism,
SMOW,Standard Mead Ocean Water,initialism,
SMS,Synchronous Meteorological Satellite(s),initialism,
SMSA,Standard Metropolitan Statistical Area,initialism,
SMTP,Simple Mail Transfer Protocol,initialism,
SNARIL,"Social, Natural, and Agricultural Resources Information Laboratory (Univ. of Kentucky)",initialism,
SNB,Service New Brunswick,initialism,
SNCF,Societe Nationale des Chemins de Fer (France),initialism,
SND,Street Network Database,initialism,
SNEP,Sierra Nevada Ecosystem Project,initialism,
SNF,Superior National Forest (Minn.),initialism,
SNGM,Servicio Nacional de Geologia y Mineria (Chile),initialism,
SNI,Siemens Nixdorf Information Systems AG,initialism,
SNID,Startnode ID,initialism,
SNIG,Sistema Nacional de Informac~ao Geografica = Portuguese National Infrastructure for Geographic Information,initialism,
SNLCS,Servico Nacional de Levantamento e Conservac~ao de Solos (Brazil),initialism,
SNM,Square nautical miles,initialism,
SNR,Signal-to-Noise Ratio,initialism,
SNRIM,Subcommittee on Natural Resources,initialism,
SNT,Servicio Nacional de Turismo (Chile),initialism,
SNWA,Southern Nevada Water Authority,initialism,
SNWS,Southern Nevada Water System,initialism,
SOAP,Simple Object Access Protocal,initialism,
SOCC,Satellite Operations Control Center (NOAA),initialism,
SODEMI,Societe pour le Developpement Minier de la Cote d'Ivoire,initialism,
SOFRATOP,Societe francais de travaux topographique et photogrammetriques,initialism,
SOHO,Solar and Heliospheric Observatory Satellite,acronym,
SOI,Survey of India,initialism,
SOLE,Spatial On-Line Editor (ESRI),acronym,
SOLSE,Shuttle Ozone Limb Scanning Experiment,acronym,
SOM,Space Oblique Mercator (projection); Spatial Object Manager (Smallworld),acronym,
SONAR,Sound Navigation and Ranging,acronym,
SONATRACH,Societe Nationale de Recherches de l'Explorations Mini`eres (Algeria),acronym,
SOP,Secretaria de Obras Publicas,initialism,
SORCE,Solar Radiation and Climate Experiment,acronym,
SORSA,Spatially-Oriented Referencing Systems Assn.,acronym,
SOS,Survey Office System,initialism,
SOWR,Sensitivity of Water Resources (global change hydrology program),initialism,
SP,Survey of Pakistan,initialism,
SP/S,Source Preparation Segment,initialism,SP / S
SPANS,Spatial Analysis System (TYDAC Technologies),acronym,
SPARRSO,Bangladesh Space Research and Remote Sensing Organisation,acronym,
SPB,Space Planning Bureau,initialism,
SPC,State Plane Coordinate (system or systems),initialism,
SPC RE,"Survey Production Centre, Royal Engineers (U.K.)",initialism,SPC RE
SPCS,State Plane Coordinate System(s),initialism,
SPDK,Sistem Pengurusan Data Kadaster (Malaysia),initialism,
SPEK,Sistem Pengeshan Kualiti = Quality Assurance System (SPDK),acronym,
SPID,Sistem Pengurusan Imej Dokumen = Certified Plan Image Database (SPDK),initialism,S PID
SPIE,Society of Photo-optical Instrumentation Engineers,initialism,S PIE
SPIN-2,Space Information-2 Meter Data (Russian Space Agency),acronym,SPIN - 2
SPIRE,Spatial Paradigm for Information Retrieval and Exploration,acronym,
SPO,State Planning Office,initialism,
SPOEM,Special Projects Office for Exploitation Modernization (USDMA),initialism,S POEM
SPOT,Syst`eme Probatoire d'Observation de la Terre (satellite),acronym,
SPOTS,Standard Programming of Telemetry Systems,acronym,
SPRI,Scott Polar Research Inst. (Univ. of Cambridge),initialism,
SPS,Stichting Planbureau Suriname; Standard Positioning Service,initialism,
SPT,Strathclyde Passenger Transport,initialism,
SPVEA,Superintendencia do Plano de Valorizac o Economica da Amazonia (Brazil),initialism,
SQL,Standard Query Language; Structured Query language,initialism,
SRBC,Susquehanna River Basin Commission,initialism,
SRES OP,Special Report on Emission Scenarios Open Process,initialism,SPES OP
SRF,Systematic reconnaissance flights,initialism,
SRI,Spatial Reference Information,initialism,
SRMB,Surveys and Resource Mapping Branch (British Columbia),initialism,
SROM,Spectro-radiometer for Ocean Monitoring,initialism,S ROM
SRTM,Shuttle Radar Topography Mission,initialism,
SRV,Socialist Republic of Vietnam,initialism,
SS1,SpaceShipOne,initialism,SS1
SSA,Seismological Society of America,initialism,
SSCC,"SPAWAR Systems Center, Charleston",initialism,
SSD,Singapore Survey Dept.; Sudan Survey Dept.,initialism,
SSDAN,Social Science Data Analysis Network (University of Michigan),initialism,SS DAN 
SSE,South Southeast,initialism,
SSEOP,Space Shuttle Observation Project (U.S.),initialism,
SSEW,Soil Survey of England and Wales,initialism,
SSGN,Service Geographique National (Senegal),initialism,
SSI,Surface Systems Inc.,initialism,
SSK,Stereo Softcopy Kit (Intergraph Corp.),initialism,
SSM/I,Special Sensor Microwave Imager,initialism,SSM / I
SSMC,Silver Spring Metro Center (NOAA),initialism,
SSMS,Spatial statistical modeling service,initialism,
SSS,"Side Scan SONAR; Simple ""Sight"" Survey (Carlson Software)",initialism,
SSSA,Soil Science Society of America,initialism,
SST,Sea-surface temperature,initialism,
SSU,Strategic Services Unit (U.S. War Dept.); Secondary sampling unit; Stratospheric Sounding Unit,initialism,
SSURGO,Soil Survey Geographical (database),initialism,S SURGO
SSW,South Southwest,initialism,
STAAC,Space and Terrestrial Applications Advisory Committee,acronym,
STAC,State Technology Applications Centers (NASA),acronym,
STATSGO,State Geographic Database (U.S.),acronym,STATS GO
STC,Standard Telephones & Cables PLC; Stanford Technology Corp.,initialism,
STCB,Survey Technician Certification Board (ASCM),initialism,
STDM,Social Tenure Domain Model; Stadium,initialism,
STDN,Spacecraft Tracking and Data Network,initialism,
STEPS,"Spatial Templates for Emergency Preparedness (PlanGraphics, Inc.)",acronym,
STF,Summary tape file,initialism,
STIA,Spatial Technologies Industry Association,initialism,
STIBOKA,Stichting voor Bodemkartering (Netherlands),initialism,
STINASU,Stichting Natuurbescherming Suriname,initialism,
STK,"Satellite Tool Kit (Analytical Graphics, Inc.); Surveyor's Tool Kit",initialism,
STM,"Stream; System test mode; Solid Terrain Modeling; Solid Terrain Modeling, Inc.",initialism,
STMA,Anabranch,initialism,
STMD,Distributary,initialism,
STMI,Intermittent stream,initialism,
STMM,Stream mouth,initialism,
STRT,Strait,initialism,
STV,Service Topographique (Vanuatu),initialism,
SU,Standard update; Stanford University; Syracuse University,initialism,
SUC,Society of University Cartographers,initialism,
SUDENE,Superintendencia de Desenvolvimento do Nordeste (Brazil),acronym,
SUDSS,Spatial understanding and decision support system,acronym,
SUE,Surface utility engineering,initialism,
SUGK,Slovak Office of Geodesy and Cartography,initialism,
SUM,"Standard update, monoscopic",acronym,
SUNI,Stockholms Universitet Naturgeografiska Institutionen,acronym,
SUNMAP,"Dept. of Natural Resources (Queensland) and its earlier names: Dept. of Lands; Division of Information, Dept. of Lands; Dept. of Geographic Information; Dept. of Mapping and Surveying",acronym,SUN MAP
SUS,"Standard update, stereoscopic",initialism,
SV,Space vehicle,initialism,
SVC,Scalable Vector Graphics,initialism,
SVD,Singular Value Decomposition,initialism,
SVF,Simple Vector Format,initialism,
SVG,Scalable Vector Graphics,initialism,
SVP,Society of Vertebrate Paleontology,initialism,
SW,Software; Southwest; Surface water,initialism,
SWA,Super-wide angle,initialism,
SWAB,"Southwest Alluvial Basins (project, NM)",initialism,
SWDC,Southwestern Colorado Data Center,initialism,
SWEMP,Southwest Exotic Plant Mapping program,acronym,
SWG,Standards working group,initialism,
SWIR,Short wave infrared,initialism,
SWMD,Selected World Mineral Deposits,initialism,
SWOOP,South Western Ontario Orthophotography Project,acronym,
SYCI,System Corrected Images,initialism,
SYMAP,Synagraphic Mapping System,initialism,SY MAP
SaGES,Surveying and Geomatics Educators Society,acronym,SaGES
SaLIS,Surveying and Land Information Systems (journal),initialism,
SanGIS,San Diego Geographic Information Source,initialism,
Sch,School,initialism,
Scheit-elst.,Scheitelstarke,initialism,Scheit-elst.
Schl.,Schloss = castle,initialism,Schl.
Serna- geomin,Servicio Nacional Geologia y Mineria (Chile),initialism,Serna- geomin
SfBWW,Senator fur Bau- und Wonungswesen (Berlin),initialism,
SfSU,Senator fur Stadtentwicklung und Umweltschutz (Berlin),initialism,
SoC,Society of Cartographers,initialism,
Soft AT,Softcopy Aerotriangulation,initialism,Soft AT
St,Saint; Street,initialism,St
StatsCan,Statistics Canada,initialism,StatsCan
Stb.,Steinbruch = stone quarry,initialism,Stb.
Stde.,Stunde = hour,initialism,Stde.
Str.,Strasse = street,initialism,Str.
SuDocs,Superintendent of Documents (U.S.),initialism,SuDocs
Sur.,Surveyor,initialism,Sur.
SzBPK,Staatsbibliothek zu Berlin-Preussischer Kulturbesitz,initialism,SzBPK
T,"Township; photogrammetric elevation (measured with stereo plotter); Tramontana, Tramuntana, Triones = North",initialism,T
T-O,"Orbis terrarum (Medieval European map type: Nile and Don rivers and Mediterranean form a ""T"" surrounded by ocean in the shape of an ""O"")",initialism,T-O
T.,Tiefe = depth,initialism,T.
T.C.H.,Thomas Campanius Holm,initialism,T.C.H.
T.E.,Topographical Engineer,initialism,T.E.
T.H.,Triple hydrant; Territory of Hawaii,initialism,T.H.
T.V.K. & Co,"Tanner, Vallance, Kearny & Co.",initialism,T.V.K. & Co
T/RS,Township/Range System,initialism,T/RS
TAC,Terrain Analysis Center (USCE); Technology Accreditation Commission (ABET); Topcon America Corporation,acronym,
TACA,Transportes Aereos Centro Americanos,acronym,
TACAN,Tactical Air Navigation,acronym,
TACC,Texas Advanced Computing Center,acronym,
TAG,Tabular and Graphic (system); Trans-Atlantic Geotraverse,acronym,
TAPS,Tennessee Assn. of Professional Surveyors,acronym,
TAR,Tape address register,acronym,
TARA,The Aerial Reconnaissance Archives (UK),acronym,
TARGA,TrueVision Advanced Raster Graphics Adapter,acronym,
TASC,Transportation Administration Service Center (US); The Analytic Sciences Corp.,initialism,
TASMAP,Tasmania Dept. of Lands,initialism,
TAVO,Tubinger Atlas des Vorderen Orients,initialism,
TAZ,Traffic analysis zone,initialism,
TBD,To be determined,initialism,
TBM,Temporary bench mark; Tunnel boring machine,initialism,
TBPLS,Texas Board of Professional Land Surveying,initialism,
TBV,To be verified,initialism,
TCI,Touring Club Italiano,initialism,
TCP/IP,Transmission Control Protocol/Internet Protocol,initialism,
TCT,Trans-continental Traverse (U.S.),initialism,
TD,Thematic data; Topographic Div. (USGS); Total depth; Topographische dienst (Netherlands),initialism,
TDC,Tennessee Dept. of Conservation,initialism,
TDD,Telecommunications Device for the Deaf,initialism,
TDM,Tasmania Dept. of Mines,initialism,
TDN,Topografische Dienst Nederland,initialism,
TDOA,Time Difference of Arrival,initialism,
TDOT,Tennessee Dept. of Transportation,initialism,
TDR,Time Domain Reflectrometry,initialism,
TDRSS,Tracking and Data Relay Satellite System (US DoD),initialism,
TDS,Tripod Data Systems,initialism,
TDSA,Tribal designated statistical area,initialism,
TDT,Terrestrial Dynamic Time,initialism,
TEC,The Engineering Center; Topographic Engineering Center (USCE),acronym,
TEFIS,Transmission Electrical Facilities Information System (Santee Cooper),initialism,
TEKPLOT,Tektronix Plotting (DLG software),initialism,TEK PLOT
TELEX,Teletypewriter Exchange,acronym,
TELNET,Telecommunications Network,acronym,
TERCOM,Terrain Contour Matching,acronym,
TERSS,Tasmanian Earth Resource Satellite Station,acronym,
TES,Terrain Edit System,acronym,
TESC,Tile enclosed elevator with self-closing traps,initialism,
TESEMPS,Terrain Edit Station/Elevation Matrix Processing System,initialism,TESEMPS
TEXPLOT,Tektronix Plotting (DLG software),acronym,TEX PLOT
TFC,Forestry Commission Tasmania,initialism,
TFEL,Thin-film electrolumiscent,initialism,
TFH,Technische Fachhoschule (Berlin),initialism,
TGO,Trimble Geomatics Office,initialism,
TGS,"Technicolor Graphic Services, Inc.",initialism,
THNOC,The Historic New Orleans Collection,initialism,
THSOA,The Hydrographic Society of America,initialism,
TI,Technical instruction; Technical investigation; Texas Instruments; Topographic instruction,initialism,
TIB,Tabula Imperii Byzantini,initialism,
TIC,Technical Information Center (NASA),initialism,
TIFF,Tagged Image File Format,initialism,
TIGA,Texas Instruments Graphics Architecture,acronym,
TIGER,Topologically Integrated Geographic Encoding and Referencing,acronym,
TIGRIS,Topologically Integrated Geographic Resource and Information System,acronym,
TIMS,Therms Infrared Multispectral Scanner,acronym,
TIN,Triangulated irregular network,acronym,
TIR,Thermal infrared ; Tabula Imperii Romani,acronym,
TIROS,Television Infrared Observation Satellite,acronym,
TIRS,Thermal Infrared Scanner,initialism,
TJSA,Tribal jurisdiction statistical area,initialism,
